Name,Assign,Attachments,Complete,Due,Section,Tag
民用定位,,,No,,我们有的资源,
工业定位,,,No,,我们有的资源,
高精度定位领域探索，软硬件demo完成，5次,,,No,,OKR,
数据中心产品化（制定一套含有基础版/定制版的产品，硬件/软件）,,,No,,OKR,
今年挣60W,,,No,,OKR,
签一套数据中心 20W,,,No,,OKR,
30W一年，杨蓉全职，4个人兼职，会计，注册地址，出差，个人五险一金 + 20W + 硬件投入 5W开发 + 2W开模 + 3W投产 = 10W,,,No,,OKR,
收支平衡,,,No,,OKR,
