Name,Assign,Status,完成
[日常]JIRA上任务的整理分配,,,No
酒店iOS的App,,归档,Yes
[日常]后端维护,,Iris,No
导航库中地图使用地图库的多楼层 polygon实现,,归档,Yes
[日常]JIRA上后端相关BUG,,Iris,No
酒店Android的App,,归档,Yes
修改设备服务的地理信息储存,,Iris,No
SaasBackend拆成多个项目,,Iris,No
去掉Keycloak,,Iris,No
