Name,Assign,Attachments,Complete,Due,Section,Tag
Speaking,,,Yes,"August 14, 2018 8:00 AM (GMT+8)",准备工作,
Reading,,,Yes,"August 13, 2018 8:00 AM (GMT+8)",准备工作,
Listen and Write,Bingxin Liu,,Yes,"August 3, 2018 8:00 AM (GMT+8)",准备工作,
,,,No,,,
