message,"@timestamp"
"2026-04-13 00:42:11.215  INFO 1 --- [           main] c.r.mid.websocket.WebSocketService       : 发送位置: c2ddae3e73d9, 4:5, 113.3162135:23.3694061, null:null","Apr 13, 2026 @ 08:42:11.548"
"2026-04-13 00:46:21.059 DEBUG 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 待解析AP(984874df6600)接收到的设备数据(c2ddae3e73d9): BleTag{mac=c2ddae3e73d9, timestamp=1776041179, rssi=-99, battery=48910, reserved=0, data=0201061AFF39060209C80182BA09C80199B609C8019AB509C80183AF0EBF}","Apr 13, 2026 @ 08:46:21.552"
"2026-04-13 00:46:21.063  WARN 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c2ddae3e73d9): [Beacon(mac=2504:386, latitude=23.36942919, longitude=113.316157, rssi=-70), Beacon(mac=2504:409, latitude=23.3694061, longitude=113.3162135, rssi=-74), Beacon(mac=2504:410, latitude=23.36945022, longitude=113.316252, rssi=-75), Beacon(mac=2504:387, latitude=23.36948345, longitude=113.3161372, rssi=-81)]","Apr 13, 2026 @ 08:46:21.552"
"2026-04-13 00:46:41.218 DEBUG 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 待解析AP(984874df6600)接收到的设备数据(c2ddae3e73d9): BleTag{mac=c2ddae3e73d9, timestamp=1776041199, rssi=-99, battery=50190, reserved=0, data=0201061AFF39060209C8019AB809C80182B809C80198B709C80199B60EC4}","Apr 13, 2026 @ 08:46:41.527"
"2026-04-13 00:46:41.220  WARN 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c2ddae3e73d9): [Beacon(mac=2504:410, latitude=23.36945022, longitude=113.316252, rssi=-72), Beacon(mac=2504:386, latitude=23.36942919, longitude=113.316157, rssi=-72), Beacon(mac=2504:408, latitude=23.36935897, longitude=113.3161784, rssi=-73), Beacon(mac=2504:409, latitude=23.3694061, longitude=113.3162135, rssi=-74)]","Apr 13, 2026 @ 08:46:41.528"
"2026-04-13 00:47:00.985 DEBUG 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 待解析AP(984874df6600)接收到的设备数据(c2ddae3e73d9): BleTag{mac=c2ddae3e73d9, timestamp=1776041218, rssi=-100, battery=50190, reserved=0, data=0201061AFF39060209C8019AB809C80182B809C80198B709C80199B60EC4}","Apr 13, 2026 @ 08:47:01.531"
"2026-04-13 00:47:00.989  WARN 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c2ddae3e73d9): [Beacon(mac=2504:410, latitude=23.36945022, longitude=113.316252, rssi=-72), Beacon(mac=2504:386, latitude=23.36942919, longitude=113.316157, rssi=-72), Beacon(mac=2504:408, latitude=23.36935897, longitude=113.3161784, rssi=-73), Beacon(mac=2504:409, latitude=23.3694061, longitude=113.3162135, rssi=-74)]","Apr 13, 2026 @ 08:47:01.531"
"2026-04-13 00:47:30.880 DEBUG 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 待解析AP(984874df6600)接收到的设备数据(c2ddae3e73d9): BleTag{mac=c2ddae3e73d9, timestamp=1776041249, rssi=-98, battery=47886, reserved=0, data=0201061AFF39060209C8019AB809C80199B609C80182B409C80198B00EBB}","Apr 13, 2026 @ 08:47:31.554"
"2026-04-13 00:47:30.881  WARN 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c2ddae3e73d9): [Beacon(mac=2504:410, latitude=23.36945022, longitude=113.316252, rssi=-72), Beacon(mac=2504:409, latitude=23.3694061, longitude=113.3162135, rssi=-74), Beacon(mac=2504:386, latitude=23.36942919, longitude=113.316157, rssi=-76), Beacon(mac=2504:408, latitude=23.36935897, longitude=113.3161784, rssi=-80)]","Apr 13, 2026 @ 08:47:31.554"
"2026-04-13 00:47:30.885  INFO 1 --- [           main] c.r.mid.websocket.WebSocketService       : 发送位置: c2ddae3e73d9, 4:5, 113.316252:23.36945022, null:null","Apr 13, 2026 @ 08:47:31.554"
"2026-04-13 00:47:51.486 DEBUG 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 待解析AP(984874df6600)接收到的设备数据(c2ddae3e73d9): BleTag{mac=c2ddae3e73d9, timestamp=1776041268, rssi=-100, battery=48910, reserved=0, data=0201061AFF39060209C80182BA09C8019AB809C80199B609C80183B50EBF}","Apr 13, 2026 @ 08:47:51.605"
"2026-04-13 00:47:51.488  WARN 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c2ddae3e73d9): [Beacon(mac=2504:386, latitude=23.36942919, longitude=113.316157, rssi=-70), Beacon(mac=2504:410, latitude=23.36945022, longitude=113.316252, rssi=-72), Beacon(mac=2504:409, latitude=23.3694061, longitude=113.3162135, rssi=-74), Beacon(mac=2504:387, latitude=23.36948345, longitude=113.3161372, rssi=-75)]","Apr 13, 2026 @ 08:47:51.605"
"2026-04-13 00:49:11.563 DEBUG 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 待解析AP(984874df6600)接收到的设备数据(c2ddae3e73d9): BleTag{mac=c2ddae3e73d9, timestamp=1776041349, rssi=-99, battery=48910, reserved=0, data=0201061AFF39060209C8019AB809C80198B709C80182B709C80199B70EBF}","Apr 13, 2026 @ 08:49:12.532"
"2026-04-13 00:49:11.566  WARN 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c2ddae3e73d9): [Beacon(mac=2504:410, latitude=23.36945022, longitude=113.316252, rssi=-72), Beacon(mac=2504:408, latitude=23.36935897, longitude=113.3161784, rssi=-73), Beacon(mac=2504:386, latitude=23.36942919, longitude=113.316157, rssi=-73), Beacon(mac=2504:409, latitude=23.3694061, longitude=113.3162135, rssi=-73)]","Apr 13, 2026 @ 08:49:12.532"
"2026-04-13 00:49:20.909 DEBUG 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 待解析AP(984874df6600)接收到的设备数据(c2ddae3e73d9): BleTag{mac=c2ddae3e73d9, timestamp=1776041358, rssi=-98, battery=48910, reserved=0, data=0201061AFF39060209C8019AB809C80198B709C80182B709C80199B70EBF}","Apr 13, 2026 @ 08:49:21.549"
"2026-04-13 00:49:20.911  WARN 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c2ddae3e73d9): [Beacon(mac=2504:410, latitude=23.36945022, longitude=113.316252, rssi=-72), Beacon(mac=2504:408, latitude=23.36935897, longitude=113.3161784, rssi=-73), Beacon(mac=2504:386, latitude=23.36942919, longitude=113.316157, rssi=-73), Beacon(mac=2504:409, latitude=23.3694061, longitude=113.3162135, rssi=-73)]","Apr 13, 2026 @ 08:49:21.549"
"2026-04-13 00:49:30.833 DEBUG 1 --- [           main] cn.reliablesense.mid.service.UdpService  : 待解析AP(984874df6600)接收到的设备数据(c2ddae3e73d9): BleTag{mac=c2ddae3e73d9, timestamp=1776041368, rssi=-100, battery=47886, reserved=0, data=0201061AFF39060209C8019AB809C80198B709C80182B709C80199B70EBB}","Apr 13, 2026 @ 08:49:31.555"
