message,"@timestamp"
"2026-04-13 15:50:24.191 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a2a90)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095419, rssi=-91, battery=3716, reserved=0, data=0201061AFF39060209C80468BE09C80463B909C80591B509C8046DBC840E}","Apr 13, 2026 @ 23:50:24.369"
"2026-04-13 15:50:24.198 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-66), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-68), Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-71), Beacon(mac=2504:1425, latitude=23.36796177, longitude=113.3169798, rssi=-75)]","Apr 13, 2026 @ 23:50:24.369"
"2026-04-13 15:50:04.371 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-66), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-68), Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-71), Beacon(mac=2504:1425, latitude=23.36796177, longitude=113.3169798, rssi=-75)]","Apr 13, 2026 @ 23:50:05.350"
"2026-04-13 15:50:04.366 DEBUG 1 --- [621825994197491] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a2a90)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095400, rssi=-92, battery=3716, reserved=0, data=0201061AFF39060209C80468BE09C80463B909C80591B509C8046DBC840E}","Apr 13, 2026 @ 23:50:05.349"
"2026-04-13 15:49:54.145 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a2a90)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095390, rssi=-91, battery=3716, reserved=0, data=0201061AFF39060209C8044ABD09C8059EB509C80468BA09C8046DB7840E}","Apr 13, 2026 @ 23:49:54.255"
"2026-04-13 15:49:54.147 DEBUG 1 --- [621825997692102] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1098, latitude=23.36799357, longitude=113.31701, rssi=-67), Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-70), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-73), Beacon(mac=2504:1438, latitude=23.36795888, longitude=113.3171294, rssi=-75)]","Apr 13, 2026 @ 23:49:54.255"
"2026-04-13 15:49:34.589 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1098, latitude=23.36799357, longitude=113.31701, rssi=-67), Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-70), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-73), Beacon(mac=2504:1438, latitude=23.36795888, longitude=113.3171294, rssi=-75)]","Apr 13, 2026 @ 23:49:35.231"
"2026-04-13 15:49:34.586 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a2a90)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095369, rssi=-86, battery=3716, reserved=0, data=0201061AFF39060209C8044ABD09C8059EB509C80468BA09C8046DB7840E}","Apr 13, 2026 @ 23:49:35.230"
"2026-04-13 15:49:29.385 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-59), Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-67), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-72), Beacon(mac=2504:1098, latitude=23.36799357, longitude=113.31701, rssi=-76)]","Apr 13, 2026 @ 23:49:30.216"
"2026-04-13 15:49:29.383 DEBUG 1 --- [621825997385265] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a17b0)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095359, rssi=-80, battery=3716, reserved=0, data=0201061AFF39060209C8046DB809C8044AB409C80468C509C80463BD840E}","Apr 13, 2026 @ 23:49:30.215"
"2026-04-13 15:49:19.470 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-59), Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-67), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-72), Beacon(mac=2504:1098, latitude=23.36799357, longitude=113.31701, rssi=-76)]","Apr 13, 2026 @ 23:49:20.221"
"2026-04-13 15:49:19.468 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 待解析AP(9848747a17b0)接收到的设备数据(c300005b2294): BleTag{mac=c300005b2294, timestamp=1776095349, rssi=-71, battery=3716, reserved=0, data=0201061AFF39060209C8046DB809C8044AB409C80468C509C80463BD840E}","Apr 13, 2026 @ 23:49:20.220"
"2026-04-13 15:49:09.360 DEBUG 1 --- [621825998353632] cn.reliablesense.mid.service.UdpService  : 获取到附近beacon信息(c300005b2294): [Beacon(mac=2504:1128, latitude=23.3680337, longitude=113.3170546, rssi=-59), Beacon(mac=2504:1123, latitude=23.36806275, longitude=113.317077, rssi=-67), Beacon(mac=2504:1133, latitude=23.36801275, longitude=113.3171043, rssi=-72), Beacon(mac=2504:1098, latitude=23.36799357, longitude=113.31701, rssi=-76)]","Apr 13, 2026 @ 23:49:10.216"
