"id","device_time","location_geom","floor","server_time","trackable_id","map_id","space_id","x","y","z","module_address","module_type","raw_map_id","placement","add_deque_time","pop_time","db_now_time"
4592171327,"2026-04-13 15:52:19.606+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:52:19.611+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:52:19.611+00","2026-04-13 15:52:20.028+00",NULL
4592158186,"2026-04-13 15:52:09.405+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:52:09.499+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:52:09.499+00","2026-04-13 15:52:10.023+00",NULL
4592162088,"2026-04-13 15:52:09.405+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:52:09.499+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:52:09.499+00","2026-04-13 15:52:10.023+00",NULL
4592165527,"2026-04-13 15:52:09.405+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:52:09.499+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:52:09.499+00","2026-04-13 15:52:10.023+00",NULL
4592141992,"2026-04-13 15:51:39.411+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:51:39.415+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:51:39.415+00","2026-04-13 15:51:40.025+00",NULL
4592132968,"2026-04-13 15:51:24.176+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:51:24.187+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:51:24.187+00","2026-04-13 15:51:25.022+00",NULL
4592131515,"2026-04-13 15:51:19.578+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:51:19.583+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:51:19.583+00","2026-04-13 15:51:20.023+00",NULL
4592126905,"2026-04-13 15:51:09.435+00","01010000A0E6100000F882609F4A545C406D53E174375E37400000000000000000",2,"2026-04-13 15:51:09.439+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:51:09.439+00","2026-04-13 15:51:10.03+00",NULL
4592105795,"2026-04-13 15:50:44.21+00","01010000A0E610000051A04FE449545C40CD499CD3345E37400000000000000000",2,"2026-04-13 15:50:44.223+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:50:44.224+00","2026-04-13 15:50:45.023+00",NULL
4592109609,"2026-04-13 15:50:44.21+00","01010000A0E610000051A04FE449545C40CD499CD3345E37400000000000000000",2,"2026-04-13 15:50:44.223+00","8e16aaee-cbd6-4c3a-a8ab-d4d19fd9703d",0,4,NULL,NULL,NULL,"c300005b2294","RS_BLUETOOTH",NULL,NULL,"2026-04-13 15:50:44.224+00","2026-04-13 15:50:45.023+00",NULL
