Name,Assign,Status
网费,,家庭财务统一管理
水电费,,家庭财务统一管理
微信 / 亲属卡,,家庭财务统一管理
支付宝,,家庭财务统一管理
银行卡,,家庭财务统一管理
不能去酒吧等高消费场所,,约束条件
不能随意打车,,约束条件
不能随意点外卖，尽量在家吃,,约束条件
估算月支出,,当前状态
是否有收入,,当前状态
其他非必须的消费需要报备,,约束条件
在没工作状态下，每个月生活费,,福利
赞助工作培训费用,,福利
赞助健身费用,,福利
每天分享你的计划,,约束条件
"找到工作后,  每月低保外的钱, 用于还债",,约束条件
"是否有欠债（包括父母）, 垫付欠债",,福利
允许我们监控你的消费情况,,约束条件
该协定有效时间直到你有一份稳定的工作，并且至少还清 50% 债务为止,,约束条件
,,
